KEGG;NAME;ENZYME;IAFMODEL;UMBBD;CODE
R04549;UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine diphosphatase|;3.6.1.0;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H2C(HO(H)C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))(C(HO(C(OC(H2C(HO(H)C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))<=>C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>+C(HC(H2O(H)))(C(HO(H))(C(HO(C(OC(H2C(HO(H)C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))(C(HN(HC(OC(H2C(HO(H)C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))(C(HO(P(O(H)O(H)O)))(O(){1})))))<1>
R03191;UDP-N-acetylmuramate:NADP+ oxidoreductase|;1.1.1.158;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(O(H)O)C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))<=>C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(C(O(H)O)C(H2))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))
R03192;UDP-N-acetylmuramate:NADP+ oxidoreductase|;1.1.1.158;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(O(H)O)C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))<=>C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(C(O(H)O)C(H2))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))
R02783;UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase(ADP-forming)|;6.3.2.9;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(O(H)O)C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+C(H2C(HN(H2)C(O(H)O))C(H2C(O(H)O)))<=>C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(O(H)O))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))
R02788;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-2,6-ligase (ADP-forming)|;6.3.2.13;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(O(H)O))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+C(H2C(H2C(HN(H2)C(O(H)O)))C(H2C(HN(H2)C(O(H)O))))<=>C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(ON(HC(HC(O(H)O)C(H2C(H2C(H2C(HN(H2)C(O(H)O)))))))))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))
R04573;UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine:alanyl-D-alanine(ADP-forming)|;6.3.2.10;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(ON(HC(HC(O(H)O)C(H2C(H2C(H2C(H2N(H2)))))))))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+N(HC(OC(HN(H2)C(H3)))C(HC(O(H)O)C(H3)))<=>C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(ON(HC(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H3))))C(H3))))C(H2C(H2C(H2C(H2N(H2)))))))))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))
R04617;UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-ligase(ADP-forming)|;6.3.2.10;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(ON(HC(HC(O(H)O)C(H2C(H2C(H2C(HN(H2)C(O(H)O)))))))))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+N(HC(OC(HN(H2)C(H3)))C(HC(O(H)O)C(H3)))<=>C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(ON(HC(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H3))))C(H3))))C(H2C(H2C(H2C(HN(H2)C(O(H)O)))))))))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))
R05629;UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-phospho-N-acetylmuramoyl-pentapeptide-transferase|;2.7.8.13;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(ON(HC(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H3))))C(H3))))C(H2C(H2C(H2C(H2N(H2)))))))))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))))))))))))))))))C(H2C(C(HC(H2C(H2C(C(HC(H2C(H2C(C(HC(H2C(H2C(C(HC(H2C(H2C(C(HC(H2O(P(O(H)O(H)O))))C(H3)))))C(H3)))))C(H3)))))C(H3)))))C(H3))))<=>C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>+C(HC(H2O(H)))(C(HO(H))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(ON(HC(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H3))))C(H3))))C(H2C(H2C(H2C(H2N(H2)))))))))))))C(H3))))C(H3))))(C(HN(HC(OC(H3))))(C(HO(P(O(P(O(H)O(C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))))))))))))))))))))))))))))))))))))))))O))O(H)O)))(O(){1})))))<1>
R05630;UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-phospho-N-acetylmuramoyl-pentapeptide-transferase|;2.7.8.13;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(ON(HC(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H3))))C(H3))))C(H2C(H2C(H2C(HN(H2)C(O(H)O)))))))))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))))))))))))))))))C(H2C(C(HC(H2C(H2C(C(HC(H2C(H2C(C(HC(H2C(H2C(C(HC(H2C(H2C(C(HC(H2O(P(O(H)O(H)O))))C(H3)))))C(H3)))))C(H3)))))C(H3)))))C(H3))))<=>C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>+C(HC(H2O(H)))(C(HO(H))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H3))))C(H3))))C(H2C(H2C(H2C(HN(H2)C(O(H)O))))))))C(H2C(H2C(O(H)O))))))C(H3))))C(H3))))(C(HN(HC(OC(H3))))(C(HO(P(O(P(O(H)O(C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))))))))))))))))))))))))))))))))))))))))O))O(H)O)))(O(){1})))))<1>
R04572;UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine:alanyl-D-alanine(ADP-forming)|;6.3.2.10;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(H2C(H2N(H2))))))))C(H2C(H2C(O(H)O))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+N(HC(OC(HN(H2)C(H3)))C(HC(O(H)O)C(H3)))<=>C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H3))))C(H3))))C(H2C(H2C(H2C(H2N(H2))))))))C(H2C(H2C(O(H)O))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))
R05628;UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-phospho-N-acetylmuramoyl-pentapeptide-transferase|;2.7.8.13;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H3))))C(H3))))C(H2C(H2C(H2C(H2N(H2))))))))C(H2C(H2C(O(H)O))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))))))))))))))))))C(H2C(C(HC(H2C(H2C(C(HC(H2C(H2C(C(HC(H2C(H2C(C(HC(H2C(H2C(C(HC(H2O(P(O(H)O(H)O))))C(H3)))))C(H3)))))C(H3)))))C(H3)))))C(H3))))<=>C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>+C(HC(H2O(H)))(C(HO(H))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H3))))C(H3))))C(H2C(H2C(H2C(H2N(H2))))))))C(H2C(H2C(O(H)O))))))C(H3))))C(H3))))(C(HN(HC(OC(H3))))(C(HO(P(O(P(O(H)O(C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))))))))))))))))))))))))))))))))))))))))O))O(H)O)))(O(){1})))))<1>
R04611;;3.4.17.8;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(ON(HC(HC(O(H)O)C(H3))))C(H3))))C(H2C(H2C(H2C(H2N(H2))))))))C(H2C(H2C(O(H)O))))))C(H3))))C(H3))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))<=>(C(HN(H2)C(H3))C(O(H)O))
R04587;;3.5.1.0;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(C(OC(H2C(HO(H)C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))<=>C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(H2))(C(HO(C(OC(H2C(HO(H)C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+C(O(H)OC(H3))
R04529;UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose:2-oxoglutarate|;2.6.1.34;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HN(H2))(C(HC(H3))(O(){7})))))<7>))))))+C(H2C(OC(O(H)O))C(H2C(O(H)O)))<=>C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(O)(C(HC(H3))(O(){7})))))<7>))))))+C(H2C(HN(H2)C(O(H)O))C(H2C(O(H)O)))
R00504;UDPgalactose:UDP-N-acetyl-D-glucosamine galactosephosphotransferase|;2.7.8.18;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))<=>C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>+C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(H)(C(H2)(O(P(O(H)O)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){16})))))<16>))))O(){7})))))<7>))))))
R04665;UDP-N-acetyl-D-glucosamine:6-[2-(N-acetyl-beta-D-glucosaminyl)-|;2.4.1.155;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+C(H2)(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(R))(O(){2})))))<2>O(C(H)(C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){6})))))<6>)))<3>))<=>C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>+C(H2)(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(R))(O(){2})))))<2>O(C(H)(C(H)(C(HO(H))(C(HO(H))(C(H)(C(H2)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){10})))))<10>))O(){3})))O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){6})))))<6>)))<3>))
R04451;UDP-N-acetyl-D-glucosamine:estradiol-17alpha-3-D-glucuronoside|;2.4.1.39;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H)(C(C(H)(C(H)(C(){7,11}))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(O(H)O))(O(){15})))))<15>))))<11>))C(H)(){1,4}))<7>)))<4>)))<1><=>C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>+C(H2)(C(H2)(C(H)(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H)(C(C(H)(C(H)(C(){7,11}))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(O(H)O))(O(){15})))))<15>))))<11>))C(H)(){1,4}))<7>)))<4>O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){5})))))<5>))))<1>
R05109;(N-Acetylneuraminyl)-galactosylglucosylceramide|;2.4.1.92;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+C(H2)(C(HO(H))(C(HN(HC(OC(H3))))(C(H)(C(HO(H))(C(HC(H2O(H)))(O(C(C(O(H)O))(C(H2)(C(HO(H))(C(HN(HC(OC(H3))))(C(HC(HO(H)C(HO(H)C(H2O(H)))))(O(){8})))))<8>)))O(C(C(O(H)O))(O(C(H)(C(HO(H))(C(H)(O(C(H)(C(HC(H2O(H)))(O(C(HO(C(H2C(HN(HC(RO))C(HO(H)C(HC(HC(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))))))(C(HO(H))(C(HO(H))(){12})))))<12>)O(C(HC(H2O(H)))(C(HO(H))(){8})))))<8>)){1})))))<1><=>C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>+C(H2)(C(HO(H))(C(HN(HC(OC(H3))))(C(H)(C(HO(H))(C(HC(H2O(H)))(O(C(C(O(H)O))(C(H2)(C(HO(H))(C(HN(HC(OC(H3))))(C(HC(HO(H)C(HO(H)C(H2O(H)))))(O(){8})))))<8>)))O(C(C(O(H)O))(O(C(H)(C(H)(C(HC(H2O(H)))(O(C(H)(C(HO(H))(){8}O(C(H)(C(HC(H2O(H)))(O(C(HO(C(H2C(HN(HC(RO))C(HO(H)C(HC(HC(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))))))(C(HO(H))(C(HO(H))(){14})))))<14>))))O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){11})))))<11>)))<8>)){1})))))<1>
R04615;UDP-N-Acetyl-D-galactosamine:N-acetylneuraminyl-2,3-alpha-D-|;2.4.1.165;None;None;C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))))+C(H2)(C(HO(H))(C(HN(HC(OC(H3))))(C(HC(HO(H)C(HO(H)C(H2O(H)))))(O(C(C(O(H)O))(O(C(H)(C(HO(H))(C(H)(O(C(H)(C(HC(H2O(H)))(O(C(HO(C(H2C(HN(HC(RO))C(HO(H)C(HC(HC(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))))))(C(HO(H))(C(HO(H))(){12})))))<12>)O(C(HC(H2O(H)))(C(HO(H))(){8})))))<8>)){1})))))<1><=>C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>+C(H2)(C(H)(C(HN(HC(OC(H3))))(C(HC(HO(H)C(HO(H)C(H2O(H)))))(O(C(C(O(H)O))(O(C(H)(C(HO(H))(C(H)(O(C(H)(C(HC(H2O(H)))(O(C(HO(C(H2C(HN(HC(RO))C(HO(H)C(HC(HC(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))))))(C(HO(H))(C(HO(H))(){12})))))<12>)O(C(HC(H2O(H)))(C(HO(H))(){8})))))<8>)){1})))O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){4})))))<4>)))<1>
